id,category,ja_name,en_name,price,style,primary_hex,secondary_hex,accent_hex,default_unlocked
bear,starter,くま,Bear,0,bear,#DE8C38,#F7C470,#7D4C29,true
cat,starter,ねこ,Cat,0,cat,#94A3C7,#EBDEC2,#525775,true
dog,starter,いぬ,Dog,0,dog,#C2874C,#FAC77A,#704729,true
rabbit,animal,うさぎ,Rabbit,3,rabbit,#F2CCE6,#FFF0FA,#BF619E,false
panda,animal,パンダ,Panda,3,panda,#2B303B,#F5F5EB,#599E5C,false
penguin,animal,ペンギン,Penguin,4,penguin,#2E4F9E,#F0F7FF,#F59E1F,false
lion,animal,ライオン,Lion,5,lion,#F0871F,#FFC74C,#944214,false
fox,animal,きつね,Fox,4,fox,#EB6E1F,#FFE0B2,#6E2E14,false
koala,animal,コアラ,Koala,4,koala,#8F9CA8,#E0E6EB,#383D47,false
hamster,animal,ハムスター,Hamster,4,bear,#DBA361,#FFDB9E,#80471F,false
sheep,animal,ひつじ,Sheep,5,sheep,#F5F5E6,#B8C2D1,#616675,false
elephant,animal,ぞう,Elephant,5,elephant,#8CA1BD,#D1E0F5,#3D4F70,false
giraffe,animal,キリン,Giraffe,5,giraffe,#F0AD38,#FFDB70,#914F14,false
owl,animal,ふくろう,Owl,5,owl,#99612E,#F2C77A,#472B1A,false
turtle,animal,かめ,Turtle,5,turtle,#38944C,#B8DB6B,#1F5C2E,false
whale,animal,くじら,Whale,6,whale,#387ACC,#C7EBFF,#1F4285,false
frog,animal,かえる,Frog,4,panda,#268F42,#C2F094,#145224,false
tiger,animal,トラ,Tiger,6,lion,#F5801A,#FFC247,#332114,false
squirrel,animal,リス,Squirrel,5,cat,#A86129,#F0AD5C,#572E14,false
deer,animal,しか,Deer,6,rabbit,#AB6B33,#F5C27A,#5C331A,false
car,vehicle,くるま,Car,4,car,#2E75DB,#A8DBFF,#142E5C,false
train,vehicle,でんしゃ,Train,5,train,#339E61,#D1F5BD,#1A5233,false
rocket,vehicle,ロケット,Rocket,6,rocket,#C74CB8,#FAE6FF,#F58C1A,false
plane,vehicle,ひこうき,Plane,6,plane,#479EE6,#DBF5FF,#2457B2,false
bus,vehicle,バス,Bus,5,bus,#F5B21F,#FFEB8A,#945C0F,false
truck,vehicle,トラック,Truck,5,car,#3885B8,#B8E6FF,#1A405C,false
ship,vehicle,ふね,Ship,6,ship,#336BC7,#D6F0FF,#D1572E,false
helicopter,vehicle,ヘリコプター,Helicopter,6,helicopter,#D64747,#FFD1BD,#7A1F1F,false
bicycle,vehicle,じてんしゃ,Bicycle,5,bicycle,#8557D1,#EBDBFF,#47298A,false
tractor,vehicle,トラクター,Tractor,6,tractor,#389E47,#E0F5A8,#1F5229,false
balloon,vehicle,ききゅう,Balloon,6,balloon,#D152A8,#FFD6F0,#70335C,false
submarine,vehicle,せんすいかん,Submarine,7,ship,#E09E14,#FFE666,#85570D,false
firetruck,vehicle,しょうぼうしゃ,Fire Truck,7,bus,#DB291F,#FFC7B2,#7A0F0A,false
scooter,vehicle,スクーター,Scooter,6,bicycle,#2E9EB2,#CCF5FF,#145766,false
monkey,animal,さる,Monkey,5,monkey,#9E6B3C,#F2D2A6,#5C3A1A,false
pig,animal,ぶた,Pig,4,pig,#F2A6BC,#FFD6E0,#C46B85,false
kid_haru,people,ハル,Haru,4,personShort,#F2C9A6,#6EC1E4,#1F1B17,false
kid_sora,people,ソラ,Sora,4,personLong,#D89B6C,#F2A6C2,#3B2A1A,false
kid_niko,people,ニコ,Niko,5,personCurly,#6B4226,#F5D04C,#15110D,false
kid_mei,people,メイ,Mei,5,personBun,#C68A5E,#8FD17A,#20160F,false
kid_leo,people,レオ,Leo,4,personBuzz,#F7D7B5,#E0563B,#6B4423,false
kid_aya,people,アヤ,Aya,5,personPonytail,#E0A878,#B98CE0,#1A1622,false
kid_ken,people,ケン,Ken,5,personShort,#5C3A21,#4CA66B,#120E0A,false
kid_luna,people,ルナ,Luna,5,personLong,#FCE0C2,#E06AA8,#E0B85C,false
kid_jin,people,ジン,Jin,5,personBuzz,#B57A50,#3A6EA5,#14100C,false
kid_mio,people,ミオ,Mio,6,personCurly,#D49A6A,#F2C14E,#B5482A,false
kid_nao,people,ナオ,Nao,6,personBun,#F2CBA8,#66C2C2,#9AA0A6,false
kid_riku,people,リク,Riku,6,personPonytail,#66422A,#E08A3C,#E06AA8,false
robot,fantasy,ロボット,Robot,6,robot,#8C98A8,#D6E0EB,#E0563B,false
ghost,fantasy,おばけ,Ghost,5,ghost,#EDEDF5,#C9C9E0,#4A4A66,false
star,fantasy,おほしさま,Star,5,star,#F5C842,#FFE89E,#E0942E,false
unicorn,fantasy,ユニコーン,Unicorn,7,unicorn,#F4DCEF,#C9A6E0,#F2A6C2,false
dragon,fantasy,ドラゴン,Dragon,7,dragon,#4CA66B,#B8E69E,#E0563B,false
police,vehicle,パトカー,Police Car,5,car,#2B3340,#EDEFF2,#3A6EA5,false
ambulance,vehicle,きゅうきゅうしゃ,Ambulance,6,bus,#F2F4F7,#FFD6D1,#DB291F,false
excavator,vehicle,ショベルカー,Excavator,6,excavator,#F2B01F,#FFE08A,#3A4453,false
crane,vehicle,クレーンしゃ,Crane Truck,7,crane,#E0883C,#FFE0B2,#3A4453,false
dumptruck,vehicle,ダンプカー,Dump Truck,6,dumpTruck,#E0A53C,#FFE0A6,#3A4453,false
mixer,vehicle,ミキサーしゃ,Mixer Truck,6,dumpTruck,#5B86C7,#CFE0F5,#2E3A4A,false
garbage,vehicle,ごみしゅうしゅうしゃ,Garbage Truck,6,dumpTruck,#4FA06B,#CDEBD6,#2E3A2E,false
house,building,おうち,House,4,house,#E0563B,#FFE7C2,#7A4A2E,false
school,building,がっこう,School,5,school,#E0A53C,#FFEFC2,#9E5A2E,false
shop,building,おみせ,Shop,5,house,#4FA06B,#E8F5D6,#2E5A3A,false
castle,building,おしろ,Castle,7,castle,#9AA6C2,#EDEFF7,#C7472E,false
tower,building,タワー,Tower,6,tower,#E0883C,#FFE0B2,#5B86C7,false
lipstick,cosme,くちべに,Lipstick,5,lipstick,#C24A8A,#3A3340,#E0563B,false
perfume,cosme,こうすい,Perfume,6,perfume,#E0A6C2,#F2E0EB,#C24A8A,false
compact,cosme,コンパクト,Compact,5,compact,#D17AA6,#F7E0EE,#C24A8A,false
nailpolish,cosme,マニキュア,Nail Polish,5,nailPolish,#E0563B,#3A3340,#F2A6BC,false
octopus,sea,たこ,Octopus,5,octopus,#E0563B,#FFC2B2,#7A2A1A,false
crab,sea,かに,Crab,5,crab,#E0432E,#FFB8A6,#7A1F12,false
fish,sea,さかな,Fish,4,fish,#3A9ED1,#BDEBFF,#1F5A7A,false
dolphin,sea,いるか,Dolphin,6,dolphin,#5B8FC7,#DCEBFF,#2E4A6E,false
shark,sea,さめ,Shark,6,shark,#8FA0B2,#E0E8F0,#3A4656,false
jellyfish,sea,くらげ,Jellyfish,6,jellyfish,#D17AC2,#F2D6F0,#7A3A6E,false
starfish,sea,ひとで,Starfish,5,starfish,#F2994A,#FFD6A6,#9E5A1F,false
strawberry,food,いちご,Strawberry,4,strawberry,#E0322E,#4FA06B,#7A1212,false
cake,food,ケーキ,Cake,5,cake,#F2A6C2,#FFE8D6,#D14A4A,false
icecream,food,アイス,Ice Cream,5,iceCream,#F2B6D6,#E0A53C,#C24A8A,false
donut,food,ドーナツ,Donut,5,donut,#C2784A,#F7B0C2,#E0432E,false
riceball,food,おにぎり,Rice Ball,4,riceBall,#F7F4EC,#3A3F46,#E0883C,false
sushi,food,すし,Sushi,6,sushi,#E0653C,#F7F2E8,#D14A2E,false
burger,food,ハンバーガー,Hamburger,6,hamburger,#E0A53C,#7AB04F,#9E5A2E,false
soccer,sports,サッカー,Soccer Ball,4,soccerBall,#EDEFF2,#EDEFF2,#2B3340,false
baseball,sports,やきゅう,Baseball,5,baseball,#F2B01F,#F7F4EC,#DB291F,false
basketball,sports,バスケ,Basketball,5,basketball,#E0773C,#FFD6B2,#5A2E1A,false
tennis,sports,テニス,Tennis,5,tennisBall,#C2E04A,#EAF7C2,#FFFFFF,false
trophy,sports,トロフィー,Trophy,7,trophy,#F2C03C,#FFE89E,#9E6B1F,false
eiffel,landmark,エッフェルとう,Eiffel Tower,6,eiffel,#9E7B4A,#6B5230,#3A2E1A,false
tokyotower,japan,とうきょうタワー,Tokyo Tower,5,tokyoTower,#E0432E,#F2F2F2,#7A1F12,false
liberty,landmark,じゆうのめがみ,Statue of Liberty,7,liberty,#5BA88C,#C7E0D6,#E0A53C,false
pyramid,landmark,ピラミッド,Pyramid,5,pyramid,#E0B45C,#F2D89E,#C77A2E,false
pisa,landmark,ピサのしゃとう,Tower of Pisa,6,pisa,#EDE6D6,#F7F2E8,#9E8A6B,false
bigben,landmark,ビッグベン,Big Ben,6,bigBen,#C7A36B,#9E7B4A,#3A2E1A,false
tajmahal,landmark,タージマハル,Taj Mahal,7,tajMahal,#F2EDE6,#D6CFC2,#9E8A6B,false
fuji,japan,ふじさん,Mt. Fuji,5,fuji,#5B86C7,#7AB04F,#2E4A6E,false
torii,japan,とりい,Torii Gate,5,torii,#E0432E,#F2F2F2,#7A1F12,false
moai,landmark,モアイ,Moai,6,moai,#8C8C8C,#6B6B6B,#3A3A3A,false
windmill,landmark,ふうしゃ,Windmill,5,windmill,#C7784A,#F2F2F2,#7A3A1F,false
colosseum,landmark,コロッセオ,Colosseum,6,colosseum,#D6B88C,#F2E6CF,#9E7B4A,false
greatwall,landmark,ばんりのちょうじょう,Great Wall,6,greatWall,#B5A48C,#7AB04F,#6B5A3A,false
operahouse,landmark,オペラハウス,Opera House,6,operaHouse,#F7F7F7,#8FBFD6,#9AA6B2,false
stonehenge,landmark,ストーンヘンジ,Stonehenge,5,stonehenge,#9E978C,#7AB04F,#6B6358,false
christ,landmark,キリストぞう,Christ the Redeemer,7,christRedeemer,#C7CCD2,#8FBFD6,#9AA0A6,false
sagrada,landmark,サグラダファミリア,Sagrada Familia,7,sagrada,#C7A36B,#E0C99E,#8A6B3A,false
goldengate,landmark,きんもんきょう,Golden Gate,6,goldenGate,#E0563B,#9AB8C7,#7A2A1A,false
towerbridge,landmark,タワーブリッジ,Tower Bridge,6,towerBridge,#9AA6B2,#F2F2F2,#4A7BA8,false
ferriswheel,landmark,かんらんしゃ,Ferris Wheel,5,ferrisWheel,#5B86C7,#F2C03C,#3A4656,false
kinkaku,japan,きんかくじ,Golden Pavilion,6,kinkaku,#E0B43C,#C79A3C,#7A5A1F,false
sphinx,landmark,スフィンクス,Sphinx,6,sphinx,#E0B45C,#F2D89E,#9E6B2E,false
angkor,landmark,アンコールワット,Angkor Wat,7,angkor,#9E8A6B,#C7B89E,#6B5A3A,false
matterhorn,landmark,マッターホルン,Matterhorn,5,matterhorn,#7A8A9E,#F2F2F2,#4A5A6E,false
libertybell,landmark,じゆうのかね,Liberty Bell,6,libertyBell,#B5894A,#8A6B3A,#5C3A1A,false
whitehouse,landmark,ホワイトハウス,White House,6,whiteHouse,#F2F2F2,#DCDCDC,#9AA0A6,false
notredame,landmark,ノートルダム,Notre-Dame,7,notreDame,#C7B89E,#A89A7E,#6B5A3A,false
burj,landmark,ブルジュハリファ,Burj Khalifa,7,burjKhalifa,#9AB8C7,#D6EAF2,#5B7A8C,false
arc,landmark,がいせんもん,Arc de Triomphe,6,archTriomphe,#D6C7A8,#EDE6D6,#9E8A6B,false
skytree,japan,スカイツリー,Tokyo Skytree,6,skytree,#8FA6C7,#D6E0EB,#5B6B8C,false
himeji,japan,ひめじじょう,Himeji Castle,7,japaneseCastle,#F2F2F2,#3A4656,#9AA0A6,false
osaka,japan,おおさかじょう,Osaka Castle,7,japaneseCastle,#E8E4D6,#2E5A4A,#C7A33C,false
pagoda,japan,ごじゅうのとう,Five-Story Pagoda,6,pagoda,#B5482A,#4A3A2E,#E0C04A,false
daibutsu,japan,だいぶつ,Great Buddha,7,daibutsu,#6B8C7A,#C7B89E,#3A4A42,false
gasshou,japan,しらかわごう,Gassho House,6,gasshou,#9E7B4A,#C7B89E,#5C4329,false
